iter	RMSE
459	0.3074201783
460	0.3073273406
461	0.3072317166
462	0.3071540318
463	0.3069775918
464	0.3067943423
465	0.3067171549
466	0.3066354901
467	0.3064690076
468	0.3063253204
469	0.3061920915
470	0.3060974956
471	0.3059504815
472	0.3058470231
473	0.3056934447
474	0.3055675151
475	0.3055542922
476	0.3054503597
477	0.3054015639
478	0.3052838287
479	0.3050735908
480	0.3049422032
481	0.3048605148
482	0.3048127741
483	0.3047082247
484	0.3046214047
485	0.3045825947
486	0.3044905222
487	0.3043684874
488	0.3043476744
489	0.3043050548
490	0.3042084277
491	0.3040908328
492	0.3038366301
493	0.3037318236
494	0.3036089844
495	0.3035088749
496	0.3034296213
497	0.3033380316
498	0.3032754445
499	0.3032670245
500	0.3030939278
501	0.3029496869
502	0.3027993041
503	0.3027219721
504	0.3025791153
505	0.3024604453
506	0.3023973814
507	0.3023128924
508	0.3021565097
509	0.3020647151
510	0.301958434
511	0.3018967175
512	0.301757601
513	0.3016469169
514	0.3015769703
515	0.3015089722
516	0.3013920562
517	0.3012544415
518	0.3011660268
519	0.3010731796
520	0.3008640221
521	0.3007494089
522	0.3006478723
523	0.3005432163
524	0.3005102846
525	0.300438762
526	0.3003248944
527	0.3003207059
528	0.3001838234
529	0.3000998966
530	0.299837395
531	0.2997710998
532	0.2996820056
533	0.2995644026
534	0.2994539224
535	0.2993595023
536	0.2992623691
537	0.2991566172
538	0.2990890828
539	0.2989635873
540	0.2988766878
541	0.298781592
542	0.2986121892
543	0.2984670099
544	0.2984180481
545	0.2982240171
546	0.2981155202
547	0.29804874
548	0.297960297
549	0.2978282366
550	0.297758383
551	0.2977191812
552	0.2976741004
553	0.2976322235
554	0.2975577855
555	0.2974695968
556	0.2973749437
557	0.2973232602
558	0.2972771051
559	0.2972410578
560	0.2972159797
561	0.2971067831
562	0.2970299646
563	0.297001968
564	0.2968751057
565	0.2968145643
566	0.296696798
567	0.2965816028
568	0.2965111931
569	0.2963948128
570	0.2962612575
571	0.2961892007
572	0.2960339476
573	0.2959376697
574	0.2958621163
575	0.2957615727
576	0.2957342124
577	0.2956336204
578	0.2955266633
579	0.2954489101
580	0.295366858
581	0.2952545381
582	0.2951951481
583	0.2951291194
584	0.2949894392
585	0.2949076863
586	0.2947971356
587	0.2947365292
588	0.2946034536
589	0.2945401037
590	0.294478353
591	0.2944619889
592	0.2943462793
593	0.2942406989
594	0.2941465382
595	0.2939834504
596	0.2939046946
597	0.2938349955
598	0.293725809
599	0.2936363779
600	0.2935797495
601	0.293530006
602	0.2933948879
603	0.2932972394
604	0.2931512924
605	0.2930853274
606	0.2930369623
607	0.2929622303
608	0.2928730687
609	0.2928544826
610	0.2928363476
611	0.2927625185
612	0.2926484408
613	0.2925738338
614	0.2925675994
615	0.2925025749
616	0.2923789704
617	0.2922819439
618	0.2921660391
619	0.2920935614
620	0.2920028379
621	0.2919644792
622	0.2918905656
623	0.2918027904
624	0.2916111418
625	0.2915392992
626	0.29148158
627	0.2914095437
628	0.2913745257
629	0.291342351
630	0.2912181252
631	0.2911307852
632	0.2910258677
633	0.2909834581
634	0.2909016003
635	0.2907967142
636	0.2906852739
637	0.2906192847
638	0.2905358538
639	0.2904487501
640	0.2903403125
641	0.2902835126
642	0.2902152532
643	0.2901151174
644	0.2900760275
645	0.2899734993
646	0.2898675094
647	0.2898637179
648	0.2897783376
649	0.289736532
650	0.2896655255
651	0.2895899553
652	0.2895108604
653	0.2894155304
654	0.2893455633
655	0.2892601282
656	0.2892405365
657	0.2891351583
658	0.2890164383
659	0.2889610593
660	0.2888556967
661	0.2888040307
662	0.288712771
663	0.2885946809
664	0.2885096747
665	0.2884317774
666	0.2883725963
667	0.2883044696
668	0.2882544737
669	0.2882018539
670	0.2881313169
671	0.2880542498
672	0.2879611234
673	0.2878602762
674	0.2877501475
675	0.28774291
676	0.2876951231
677	0.2876866792
678	0.2876044849
679	0.2875823634
680	0.2874558381
681	0.2874100027
682	0.2873056249
683	0.2872697602
684	0.287199442
685	0.2871305317
686	0.2870408217
687	0.2869491756
688	0.2869381183
689	0.286882943
690	0.2868474711
691	0.286837057
692	0.2867149326
693	0.2866607213
694	0.2865771976
695	0.2864815613
696	0.2864276491
697	0.2863614295
698	0.286299383
699	0.2862326829
700	0.2861427187
701	0.2860387196
702	0.2859058051
703	0.2858355467
704	0.2858273316
705	0.2857294667
706	0.2856273578
707	0.2855882848
708	0.2855229315
709	0.2854355026
710	0.2853428175
711	0.2852433276
712	0.2851536319
713	0.2851319949
714	0.285042234
715	0.2849615276
716	0.2848654835
717	0.2847941931
718	0.2847886637
719	0.2847012522
720	0.2846820494
721	0.2845912889
722	0.2845057096
723	0.2843722521
724	0.2842747525
725	0.2841892864
726	0.2841092221
727	0.2841023886
728	0.28403711
729	0.2839444064
730	0.2839262447
731	0.2838740533
732	0.2837870273
733	0.2836619873
734	0.2836125986
735	0.2835819119
736	0.2835271756
737	0.2834981222
738	0.2834536105
739	0.2833787653
740	0.2833741899
741	0.283317405
742	0.2832229223
743	0.2831493267
744	0.283084631
745	0.2830105612
746	0.2830049408
747	0.2829062206
748	0.2828484869
749	0.2827613177
750	0.2827341853
751	0.282679624
752	0.2825935602
753	0.2825351184
754	0.2824498495
755	0.2824045173
756	0.2823282712
757	0.2822283307
758	0.2821531809
759	0.282075573
760	0.282022719
761	0.2818916518
762	0.2818270363
763	0.2817683095
764	0.2817274171
765	0.2816517094
766	0.2816105169
767	0.281535123
768	0.2814842056
769	0.2814282513
770	0.2813854165
771	0.2813447868
772	0.2812835311
773	0.2812288796
774	0.2811462414
775	0.2811167787
776	0.2810565462
777	0.2809834112
778	0.2808817923
779	0.2808522102
780	0.2808064016
781	0.2806952971
782	0.2806152848
783	0.2805354081
784	0.2805179032
785	0.2804650075
786	0.2803920853
787	0.2803342456
788	0.2803083869
789	0.280247049
790	0.2801922012
791	0.280116921
792	0.2800488404
793	0.2799336301
794	0.2798706102
795	0.2798269398
796	0.2797689232
797	0.2797102541
798	0.2796418363
799	0.2796102715
800	0.2795702005
801	0.2794951833
802	0.2794345511
803	0.2793669897
804	0.2793029394
805	0.2792393867
806	0.2791744882
807	0.278992944
808	0.2789236723
809	0.278845782
810	0.2787502953
811	0.2786825087
812	0.2786014155
813	0.2785237369
814	0.2784742546
815	0.2784143721
816	0.278348795
817	0.2783070216
818	0.2782763483
819	0.2782127981
820	0.2781549663
821	0.2781035997
822	0.2780444097
823	0.2780136129
824	0.2779949487
825	0.2779780495
826	0.277940436
827	0.2778655597
828	0.2777784732
829	0.2777742894
830	0.2777646352
831	0.2777200956
832	0.2776532296
833	0.2776191551
834	0.2776106838
835	0.277548515
836	0.277473384
837	0.2774169775
838	0.2773553803
839	0.2772862681
840	0.2772798974
841	0.2772118439
842	0.2771274864
843	0.2770634056
844	0.2769694843
845	0.2769451412
846	0.2769124001
847	0.2768708139
848	0.2768655471
849	0.2767972192
850	0.2767348615
851	0.2766910836
852	0.2766272501
853	0.2765740759
854	0.2765600973
855	0.276534565
856	0.2764659224
857	0.276395878
858	0.2763268147
859	0.2762401104
860	0.2761556332
861	0.2761209713
862	0.2760474986
863	0.2759907017
864	0.2759563164
865	0.2758927129
866	0.2758335194
867	0.2757582376
868	0.2756937528
869	0.2756741173
870	0.275598256
871	0.2755478706
872	0.2754752783
873	0.2753945211
874	0.2753576036
875	0.2753122694
876	0.2752499937
877	0.2752273266
878	0.2751700116
879	0.275120176
880	0.2750495268
881	0.2749927368
882	0.274921019
883	0.2748537488
884	0.2748006114
885	0.274725319
886	0.2746285934
887	0.2745679867
888	0.2745273466
889	0.2744481462
890	0.274395379
891	0.2743356808
892	0.2742517147
893	0.2741895739
894	0.2741475724
895	0.2740991312
896	0.2740652287
897	0.2740335913
898	0.2739765665
899	0.2738662452
900	0.2738263567
901	0.2737757352
902	0.2737001696
903	0.2736491121
904	0.2735806431
905	0.2735340491
906	0.2735262794
907	0.2734455288
908	0.2733666
909	0.273314807
910	0.2732598006
911	0.2732140527
912	0.2731449948
913	0.2730888284
914	0.2730181721
915	0.2729228159
916	0.2728716319
917	0.2728542254
918	0.2728081568
919	0.2727831378
920	0.2727547655
921	0.2726827453
922	0.272642677
923	0.2726113945
924	0.2725472507
925	0.2725016684
926	0.2724622201
927	0.2724074407
928	0.2723622467
929	0.2723506395
930	0.2723076103
931	0.2722737958
932	0.2721965872
933	0.2721362564
934	0.272075312
935	0.2720661247
936	0.27199521
937	0.2719577991
938	0.2719030209
939	0.2718702586
940	0.2718244358
941	0.2717326081
942	0.2717276164
943	0.2716699918
944	0.2716156926
945	0.2715278726
946	0.2715009345
947	0.2714671404
948	0.2714283449
949	0.2713711065
950	0.271329846
951	0.2712783848
952	0.2712234054
953	0.2712014694
954	0.2711617259
955	0.2711186462
956	0.2710615097
957	0.2710167133
958	0.2709827917
959	0.2709028904
960	0.2708589919
961	0.2708462301
962	0.2707873746
963	0.2707405416
964	0.2706693306
965	0.2706263587
966	0.2705843479
967	0.2705366295
968	0.270499837
969	0.2704199685
970	0.2703645612
971	0.2703348823
972	0.2703293818
973	0.2702923206
974	0.2702363423
975	0.2702110682
976	0.2701610487
977	0.2700437252
