contract_number,county,num_counties,multi_county,work_type,road_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_paving,has_guardrail,has_signs,has_lighting,has_signals,has_pavement_marking,has_barrier,has_concrete,has_mowing,has_chip_seal,has_crack_seal
CNS070,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNS083,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JOHNSON, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",22,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNS054,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNS053,"BEDFORD, CHEATHAM, DICKSON, GILES, HICKMAN, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN, MACON, MARSHALL, MAURY,
MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE, WAYNE, WILLIAMSON, AND
WILSON",24,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNS031,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",21,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNZ054,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNQ053,"CHESTER, CROCKETT, DECATUR, FAYETTE, HARDEMAN, HARDIN, HAYWOOD, HENDERSON, LAUDERDALE, MADISON,
MCNAIRY, SHELBY, AND TIPTON",13,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNQ065,"BLEDSOE, BRADLEY, CLAY, CUMBERLAND, DEKALB, FENTRESS, GRUNDY, HAMILTON, JACKSON, MARION, MCMINN, MEIGS,
POLK, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",17,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNQ063,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON,
JACKSON, MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNQ054,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",21,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
