item_no,description,unit,description_expanded,item_class,item_type
716-05.04,PAINTED PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.,PAINTED PAVEMENT MARKING (CHANNELIZATION STRIPING),Pavement Marking,Painted
716-05.05,PAINTED PAVEMENT MARKING (STOP LINE),L.F.,PAINTED PAVEMENT MARKING (STOP LINE),Pavement Marking,Painted
716-05.06,PAINTED PAVEMENT MARKING (TURN LANE ARROW),EACH,PAINTED PAVEMENT MARKING (TURN LANE ARROW),Pavement Marking,Painted
716-05.07,PAINTED PAVEMENT MARKING (24 BARRIER LINE),L.F.,PAINTED PAVEMENT MARKING (24 BARRIER LINE),Pavement Marking,Painted
716-05.08,PAINTED PAVEMENT MARKING (PARKING LINE),L.F.,PAINTED PAVEMENT MARKING (PARKING LINE),Pavement Marking,Painted
716-05.09,PAINTED PAVEMENT MARKING(STRAIGHT-TURN ARROW),EACH,PAINTED PAVEMENT MARKING(STRAIGHT-TURN ARROW),Pavement Marking,Painted
716-05.10,PAINTED PAVEMENT MARKING (RXR),EACH,PAINTED PAVEMENT MARKING (RXR),Pavement Marking,Painted
716-05.11,PAINTED PAVEMENT MARKING(STRAIGHT ARROW),EACH,PAINTED PAVEMENT MARKING(STRAIGHT ARROW),Pavement Marking,Painted
716-05.12,PAINTED PAVEMENT MARKING (CONTRAST 6 LINE),L.M.,PAINTED PAVEMENT MARKING (CONTRAST 6 LINE),Pavement Marking,Painted
716-05.20,PAINTED PAVEMENT MARKING (6 LINE),L.M.,PAINTED PAVEMENT MARKING (6 LINE),Pavement Marking,Painted
716-05.21,PAINTED PAVEMENT MARKING(4DOTTED LINE),L.F.,PAINTED PAVEMENT MARKING(4DOTTED LINE),Pavement Marking,Painted
716-05.22,PAINTED PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.,PAINTED PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),Pavement Marking,Painted
716-05.49,PAINTED PAVEMENT MARKINGS(8 LINE),L.M.,PAINTED PAVEMENT MARKINGS(8 LINE),Pavement Marking,Painted
