Item Number,Item Description,U/M Type,U/M,Item Class,Item Type
716-08.01,Removal Of Pavement Marking (Line),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.02,"Removal Of Pavement Marking (8"" Barrier Line)",L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.03,Removal Of Pavement Marking (Cross-Walk),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.04,Removal Of Pavement Marking (Channelization Striping),S.Y.,Square Yard,Pavement Marking,Pavement Marking Misc.
716-08.05,Removal Of Pavement Marking (Stop Line),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.06,Removal Of Pavement Marking (Turn Lane Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.07,Removal Of Pavement Marking (Straight-Turn Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.09,Removal Of Pavement Marking (Dotted Line),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.08,Removal Of Pavement Marking (Double Turning Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.10,Removal Of Pavement Marking (Transverse Shoulder),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.11,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.13,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.12,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.14,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.15,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.16,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.17,Removal Of Word Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.18,Removal Of Pavement Marking (Wrong Way Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.19,Removal Of Pavement Marking (Yield Line),S.F.,Square Feet,Pavement Marking,Pavement Marking Misc.
716-08.20,Removal Of Pavement Marking (Line),L.M.,Linear Mile,Pavement Marking,Pavement Marking Misc.
716-08.21,Removal Of Pavement Marking (24In Barrier Line),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.22,Removal Of Pavement Marking (Noise Strip),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.23,Removal Of Pavement Marking (Straight Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.24,Removal Of Pavement Marking (Lane Reduction Arrow),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.25,Removal Of Pavement Marking (Shield),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.30,Hydroblast Removal Of Pavement Marking (Line),L.M.,Linear Mile,Pavement Marking,Pavement Marking Misc.
716-08.31,Hydroblast Removal Of Pavement Marking (Description),L.M.,Linear Mile,Pavement Marking,Pavement Marking Misc.
716-08.32,Hydroblast Removal Of Pavement Marking (Description),L.F.,Linear Feet,Pavement Marking,Pavement Marking Misc.
716-08.33,Hydroblast Removal Of Pavement Marking (Description),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-08.34,Hydroblast Removal Of Pavement Marking (Description),S.Y.,Square Yard,Pavement Marking,Pavement Marking Misc.
716-09.02,"Wet Reflec. Pvmt Marking(8""Barrier Line)",L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-09.03,"Wet Reflective Pavement Marking(6"" Line)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.30,Wet Reflective Channelization Striping,S.Y.,Square Yard,Pavement Marking,Plastic-Thermal
716-09.32,Exit Only Arrow,EACH,Each,Pavement Marking,Plastic-Thermal
716-09.33,6 Inch Dotted Line,L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.42,"Contrast Pavement Marking 6"" (Tape)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.43,"Contrast Pavement Marking 6"" (Tape)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
